experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff,n_scenarios
stage_a_uci_v2,tent,parameters_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,-7.17310953467839e-05,-1.449108461071269e-05,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,parameters_optimizer_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
