experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,tent,optimizer_aux,4,ba,uci_internal_fixed,0.8623046875,0.5140143540019452,0.21407256170017286,0.07918942193259021,0.08053551666428874,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters,0,ab,uci_internal_fixed,0.8616536458333334,0.51405495626297,0.2141212596574894,0.07901208171909709,0.08087801666503458,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters,0,ba,uci_internal_fixed,0.8616536458333334,0.5140915711297555,0.21412360523940868,0.07902311552166603,0.09483419999742176,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters,4,ab,uci_internal_fixed,0.8616536458333334,0.5145020303060358,0.21418720471350258,0.07905311101615513,0.08117740000064559,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters,4,ba,uci_internal_fixed,0.8616536458333334,0.5145257348698196,0.2141885849925409,0.07888675211553235,0.09115694999976158,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.51405495626297,0.2141212596574894,0.07901208171909709,0.10797398333185503,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5140915711297555,0.21412360523940868,0.07902311552166603,0.0846290999979828,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5145020303060358,0.21418720471350258,0.07905311101615513,0.08734830000078846,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5145257348698196,0.2141885849925409,0.07888675211553235,0.07821998333383816,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,0,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.09004496666845319,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,0,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08444963333022311,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,4,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.0823051499998352,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,4,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08497918333402284,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08668851666637538,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.07930095000241025,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.0821447000004506,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08168680000138308,16.0,0.0,0.0,3,2,2
